0 | 1 | 0.9
0 | 9 | 1.2
0 | 13 | 0.5
0 | 22 | 0.3
0 | 34 | 0.5
1 | 9 | 0.7
1 | 23 | 0.7
1 | 29 | 1.4
2 | 11 | 1.2
2 | 32 | 1.6
2 | 8 | 2.1
9 | 11 | 1.8
9 | 23 | 0.9
9 | 13 | 0.8
11 | 32 | 0.5
13 | 17 | 1.2
13 | 22 | 0.8
22 | 34 | 0.2
34 | 17 | 0.4
34 | 26 | 0.2
6 | 10 | 1.0
6 | 33 | 1.4
10 | 33 | 1.1
10 | 18 | 0.8
18 | 33 | 1.2
18 | 27 | 3.7
27 | 33 | 2.6
27 | 21 | 5.1
1 | 6 | 2.3
23 | 6 | 1.6
33 | 21 | 2.6
33 | 10 | 1.1
8 | 2 | 2.1
8 | 11 | 1.0
8 | 21 | 1.3
8 | 25 | 0.9
21 | 25 | 1.7
32 | 11 | 0.5
32 | 8 | 0.5
3 | 14 | 0.5
3 | 20 | 1.0
3 | 4 | 1.5
3 | 19 | 0.6
3 | 12 | 1.7
3 | 7 | 1.0
4 | 19 | 1.0
4 | 24 | 0.8
4 | 29 | 1.2
14 | 20 | 0.6
14 | 31 | 0.7
14 | 30 | 1.7
19 | 29 | 2.2
19 | 31 | 0.5
20 | 17 | 0.5
20 | 26 | 0.9
24 | 26 | 1.0
24 | 17 | 0.8
29 | 24 | 0.5
31 | 5 | 1.2
31 | 12 | 1.5
30 | 5 | 0.8
30 | 12 | 0.5
5 | 12 | 1.1
12 | 15 | 0.6
15 | 28 | 1.9
7 | 28 | 1.5
25 | 20 | 3.3
25 | 14 | 3.7
25 | 21 | 1.7
16 | 18 | 1.7
16 | 10 | 1.9
16 | 21 | 3.2
